Intercept,Previous,Current,Species,Stage,Previous:Current,Previous:Species,Current:Species,Previous:Stage,Current:Stage,Species:Stage,Previous:Current:Species,Previous:Current:Stage,Previous:Species:Stage,Current:Species:Stage,Previous:Current:Species:Stage
CG14052,NA,NA,CG30356,CG17189,NA,NA,NA,NA,NA,CG9084,NA,NA,NA,NA,NA
CG14053,NA,NA,CG30373,CG17196,NA,NA,NA,NA,NA,CG9098,NA,NA,NA,NA,NA
CG14062,NA,NA,CG3038,CG17221,NA,NA,NA,NA,NA,CG9107,NA,NA,NA,NA,NA
CG14069,NA,NA,CG30380,CG17237,NA,NA,NA,NA,NA,CG9114,NA,NA,NA,NA,NA
CG1407,NA,NA,CG30385,CG17261,NA,NA,NA,NA,NA,CG9117,NA,NA,NA,NA,NA
CG14070,NA,NA,CG30392,CG17264,NA,NA,NA,NA,NA,CG9130,NA,NA,NA,NA,NA
CG14071,NA,NA,CG30393,CG17266,NA,NA,NA,NA,NA,CG9147,NA,NA,NA,NA,NA
CG14073,NA,NA,CG30394,CG17278,NA,NA,NA,NA,NA,CG9150,NA,NA,NA,NA,NA
CG14074,NA,NA,CG30398,CG17283,NA,NA,NA,NA,NA,CG9192,NA,NA,NA,NA,NA
CG14075,NA,NA,CG3040,CG17287,NA,NA,NA,NA,NA,CG9205,NA,NA,NA,NA,NA
CG14077,NA,NA,CG30403,CG17290,NA,NA,NA,NA,NA,CG9279,NA,NA,NA,NA,NA
CG14082,NA,NA,CG30411,CG17292,NA,NA,NA,NA,NA,CG9300,NA,NA,NA,NA,NA
CG14100,NA,NA,CG30424,CG17322,NA,NA,NA,NA,NA,CG9344,NA,NA,NA,NA,NA
CG14102,NA,NA,CG30427,CG17323,NA,NA,NA,NA,NA,CG9372,NA,NA,NA,NA,NA
CG14103,NA,NA,CG30428,CG17328,NA,NA,NA,NA,NA,CG9400,NA,NA,NA,NA,NA
CG14104,NA,NA,CG30431,CG17344,NA,NA,NA,NA,NA,CG9410,NA,NA,NA,NA,NA
CG1416,NA,NA,CG30438,CG17349,NA,NA,NA,NA,NA,CG9411,NA,NA,NA,NA,NA
CG1418,NA,NA,CG30440,CG17350,NA,NA,NA,NA,NA,CG9445,NA,NA,NA,NA,NA
CG14182,NA,NA,CG30441,CG1738,NA,NA,NA,NA,NA,CG9451,NA,NA,NA,NA,NA
CG14183,NA,NA,CG30456,CG17385,NA,NA,NA,NA,NA,CG9485,NA,NA,NA,NA,NA
CG14184,NA,NA,CG30466,CG17386,NA,NA,NA,NA,NA,CG9505,NA,NA,NA,NA,NA
CG14186,NA,NA,CG30491,CG17387,NA,NA,NA,NA,NA,CG9507,NA,NA,NA,NA,NA
CG14187,NA,NA,CG30495,CG17475,NA,NA,NA,NA,NA,CG9509,NA,NA,NA,NA,NA
CG1421,NA,NA,CG30499,CG1750,NA,NA,NA,NA,NA,CG9510,NA,NA,NA,NA,NA
CG14244,NA,NA,CG3071,CG17544,NA,NA,NA,NA,NA,CG9515,NA,NA,NA,NA,NA
CG14245,NA,NA,CG3077,CG17549,NA,NA,NA,NA,NA,CG9521,NA,NA,NA,NA,NA
CG14246,NA,NA,CG3078,CG17562,NA,NA,NA,NA,NA,CG9547,NA,NA,NA,NA,NA
CG14247,NA,NA,CG3085,CG17564,NA,NA,NA,NA,NA,CG9629,NA,NA,NA,NA,NA
CG14253,NA,NA,CG3091,CG17565,NA,NA,NA,NA,NA,CG9643,NA,NA,NA,NA,NA
CG14257,NA,NA,CG31019,CG17568,NA,NA,NA,NA,NA,CG9650,NA,NA,NA,NA,NA
CG14258,NA,NA,CG3104,CG17572,NA,NA,NA,NA,NA,CG9666,NA,NA,NA,NA,NA
CG14259,NA,NA,CG31041,CG17574,NA,NA,NA,NA,NA,CG9672,NA,NA,NA,NA,NA
CG14262,NA,NA,CG31064,CG17580,NA,NA,NA,NA,NA,CG9691,NA,NA,NA,NA,NA
CG14269,NA,NA,CG31075,CG17593,NA,NA,NA,NA,NA,CG9727,NA,NA,NA,NA,NA
CG14270,NA,NA,CG31087,CG17601,NA,NA,NA,NA,NA,CG9766,NA,NA,NA,NA,NA
CG14274,NA,NA,CG31089,CG17612,NA,NA,NA,NA,NA,CG9782,NA,NA,NA,NA,NA
CG14275,NA,NA,CG31093,CG17636,NA,NA,NA,NA,NA,CG9815,NA,NA,NA,NA,NA
CG14277,NA,NA,CG31097,CG17646,NA,NA,NA,NA,NA,CG9826,NA,NA,NA,NA,NA
CG1428,NA,NA,CG31098,CG17650,NA,NA,NA,NA,NA,CG9850,NA,NA,NA,NA,NA
CG14291,NA,NA,CG31099,CG17652,NA,NA,NA,NA,NA,CG9864,NA,NA,NA,NA,NA
CG14292,NA,NA,CG31102,CG17660,NA,NA,NA,NA,NA,CG9865,NA,NA,NA,NA,NA
CG14294,NA,NA,CG31103,CG17669,NA,NA,NA,NA,NA,CG9917,NA,NA,NA,NA,NA
CG14297,NA,NA,CG31109,CG17683,NA,NA,NA,NA,NA,CG9940,NA,NA,NA,NA,NA
CG14298,NA,NA,CG31115,CG17691,NA,NA,NA,NA,NA,chas,NA,NA,NA,NA,NA
CG14300,NA,NA,CG31122,CG17707,NA,NA,NA,NA,NA,CheB53a,NA,NA,NA,NA,NA
CG14301,NA,NA,CG3117,CG17737,NA,NA,NA,NA,NA,cher,NA,NA,NA,NA,NA
CG14304,NA,NA,CG31176,CG17739,NA,NA,NA,NA,NA,Cht6,NA,NA,NA,NA,NA
CG14305,NA,NA,CG3119,CG17801,NA,NA,NA,NA,NA,cindr,NA,NA,NA,NA,NA
CG14309,NA,NA,CG3121,CG17802,NA,NA,NA,NA,NA,Cisd2,NA,NA,NA,NA,NA
CG14313,NA,NA,CG31213,CG17803,NA,NA,NA,NA,NA,ck,NA,NA,NA,NA,NA
CG14314,NA,NA,CG31229,CG17806,NA,NA,NA,NA,NA,CkIIalpha-i3,NA,NA,NA,NA,NA
CG14315,NA,NA,CG31249,CG17807,NA,NA,NA,NA,NA,ckn,NA,NA,NA,NA,NA
CG14316,NA,NA,CG31274,CG17829,NA,NA,NA,NA,NA,Clc,NA,NA,NA,NA,NA
CG14317,NA,NA,CG31279,CG17834,NA,NA,NA,NA,NA,CLIP-190,NA,NA,NA,NA,NA
CG14322,NA,NA,CG31287,CG17841,NA,NA,NA,NA,NA,clos,NA,NA,NA,NA,NA
CG14323,NA,NA,CG31288,CG1785,NA,NA,NA,NA,NA,CLS,NA,NA,NA,NA,NA
CG14325,NA,NA,CG31357,CG17855,NA,NA,NA,NA,NA,CngA,NA,NA,NA,NA,NA
CG14326,NA,NA,CG31360,CG1789,NA,NA,NA,NA,NA,CngB,NA,NA,NA,NA,NA
CG14330,NA,NA,CG31370,CG17896,NA,NA,NA,NA,NA,CNT1,NA,NA,NA,NA,NA
CG14332,NA,NA,CG31380,CG17906,NA,NA,NA,NA,NA,Cnx99A,NA,NA,NA,NA,NA
CG14339,NA,NA,CG3149,CG1791,NA,NA,NA,NA,NA,Cog3,NA,NA,NA,NA,NA
CG1434,NA,NA,CG31516,CG17919,NA,NA,NA,NA,NA,Cog7,NA,NA,NA,NA,NA
CG14340,NA,NA,CG31523,CG1792,NA,NA,NA,NA,NA,cola,NA,NA,NA,NA,NA
CG14341,NA,NA,CG31525,CG17928,NA,NA,NA,NA,NA,colt,NA,NA,NA,NA,NA
CG14352,NA,NA,CG31528,CG17929,NA,NA,NA,NA,NA,Con,NA,NA,NA,NA,NA
CG14353,NA,NA,CG31542,CG17930,NA,NA,NA,NA,NA,cona,NA,NA,NA,NA,NA
CG14354,NA,NA,CG31548,CG17931,NA,NA,NA,NA,NA,conv,NA,NA,NA,NA,NA
CG1440,NA,NA,CG31549,CG17944,NA,NA,NA,NA,NA,cora,NA,NA,NA,NA,NA
CG14407,NA,NA,CG31550,CG17959,NA,NA,NA,NA,NA,Corp,NA,NA,NA,NA,NA
CG14410,NA,NA,CG3156,CG17985,NA,NA,NA,NA,NA,COX5BL,NA,NA,NA,NA,NA
CG14411,NA,NA,CG31633,CG17996,NA,NA,NA,NA,NA,Cp7Fa,NA,NA,NA,NA,NA
CG14414,NA,NA,CG31635,CG18003,NA,NA,NA,NA,NA,cpo,NA,NA,NA,NA,NA
CG14416,NA,NA,CG3164,CG18004,NA,NA,NA,NA,NA,Cpr11B,NA,NA,NA,NA,NA
CG14417,NA,NA,CG31650,CG18012,NA,NA,NA,NA,NA,Cpr30B,NA,NA,NA,NA,NA
CG14419,NA,NA,CG31663,CG18048,NA,NA,NA,NA,NA,Cpr49Ab,NA,NA,NA,NA,NA
CG14420,NA,NA,CG3168,CG18063,NA,NA,NA,NA,NA,Cpr49Af,NA,NA,NA,NA,NA
CG14421,NA,NA,CG31689,CG18067,NA,NA,NA,NA,NA,Cpr49Ag,NA,NA,NA,NA,NA
CG14427,NA,NA,CG31690,CG18094,NA,NA,NA,NA,NA,Cpr57A,NA,NA,NA,NA,NA
CG14431,NA,NA,CG31694,CG18095,NA,NA,NA,NA,NA,Cpr60D,NA,NA,NA,NA,NA
CG14434,NA,NA,CG31705,CG18128,NA,NA,NA,NA,NA,Cpr64Aa,NA,NA,NA,NA,NA
CG14435,NA,NA,CG31706,CG18130,NA,NA,NA,NA,NA,Cpr64Ad,NA,NA,NA,NA,NA
CG14438,NA,NA,CG31710,CG18132,NA,NA,NA,NA,NA,Cpr76Bd,NA,NA,NA,NA,NA
CG14440,NA,NA,CG31712,CG18135,NA,NA,NA,NA,NA,Cpr78Ca,NA,NA,NA,NA,NA
CG14441,NA,NA,CG31715,CG1814,NA,NA,NA,NA,NA,Cpr78E,NA,NA,NA,NA,NA
CG14442,NA,NA,CG31717,CG18155,NA,NA,NA,NA,NA,CPT2,NA,NA,NA,NA,NA
CG14445,NA,NA,CG31729,CG18171,NA,NA,NA,NA,NA,CR32773,NA,NA,NA,NA,NA
CG14450,NA,NA,CG31731,CG18190,NA,NA,NA,NA,NA,crol,NA,NA,NA,NA,NA
CG14455,NA,NA,CG31735,CG18208,NA,NA,NA,NA,NA,crq,NA,NA,NA,NA,NA
CG14463,NA,NA,CG31743,CG18213,NA,NA,NA,NA,NA,Csas,NA,NA,NA,NA,NA
CG14478,NA,NA,CG31751,CG18223,NA,NA,NA,NA,NA,Csat,NA,NA,NA,NA,NA
CG14480,NA,NA,CG31777,CG18234,NA,NA,NA,NA,NA,CSN5,NA,NA,NA,NA,NA
CG14483,NA,NA,CG31778,CG1824,NA,NA,NA,NA,NA,CstF-50,NA,NA,NA,NA,NA
CG14488,NA,NA,CG31789,CG18258,NA,NA,NA,NA,NA,CstF-64,NA,NA,NA,NA,NA
CG14490,NA,NA,CG31798,CG18262,NA,NA,NA,NA,NA,ct,NA,NA,NA,NA,NA
CG14491,NA,NA,CG31800,CG18266,NA,NA,NA,NA,NA,cv,NA,NA,NA,NA,NA
CG14492,NA,NA,CG31803,CG18269,NA,NA,NA,NA,NA,cv-2,NA,NA,NA,NA,NA
CG14495,NA,NA,CG31812,CG1827,NA,NA,NA,NA,NA,Cwc25,NA,NA,NA,NA,NA
CG14500,NA,NA,CG31816,CG18281,NA,NA,NA,NA,NA,CycG,NA,NA,NA,NA,NA
CG14505,NA,NA,CG31817,CG18284,NA,NA,NA,NA,NA,CycJ,NA,NA,NA,NA,NA
CG14506,NA,NA,CG31826,CG18301,NA,NA,NA,NA,NA,CYLD,NA,NA,NA,NA,NA
CG14507,NA,NA,CG31855,CG18302,NA,NA,NA,NA,NA,Cyp12b2,NA,NA,NA,NA,NA
CG14516,NA,NA,CG31875,CG18304,NA,NA,NA,NA,NA,Cyp12c1,NA,NA,NA,NA,NA
CG14527,NA,NA,CG31908,CG18327,NA,NA,NA,NA,NA,Cyp12d1-d,NA,NA,NA,NA,NA
CG14528,NA,NA,CG31909,CG18335,NA,NA,NA,NA,NA,Cyp28a5,NA,NA,NA,NA,NA
CG14535,NA,NA,CG31917,CG18367,NA,NA,NA,NA,NA,Cyp28c1,NA,NA,NA,NA,NA
CG14537,NA,NA,CG31918,CG18371,NA,NA,NA,NA,NA,Cyp28d1,NA,NA,NA,NA,NA
CG14540,NA,NA,CG31922,CG18404,NA,NA,NA,NA,NA,Cyp301a1,NA,NA,NA,NA,NA
CG14543,NA,NA,CG31937,CG18446,NA,NA,NA,NA,NA,Cyp303a1,NA,NA,NA,NA,NA
CG14544,NA,NA,CG31948,CG18449,NA,NA,NA,NA,NA,Cyp309a2,NA,NA,NA,NA,NA
CG14545,NA,NA,CG31950,CG18469,NA,NA,NA,NA,NA,Cyp310a1,NA,NA,NA,NA,NA
CG14546,NA,NA,CG31954,CG1847,NA,NA,NA,NA,NA,Cyp316a1,NA,NA,NA,NA,NA
CG14550,NA,NA,CG31955,CG18472,NA,NA,NA,NA,NA,Cyp318a1,NA,NA,NA,NA,NA
CG14551,NA,NA,CG3198,CG18480,NA,NA,NA,NA,NA,Cyp4aa1,NA,NA,NA,NA,NA
CG14565,NA,NA,CG32017,CG18507,NA,NA,NA,NA,NA,Cyp4ac1,NA,NA,NA,NA,NA
CG14566,NA,NA,CG3209,CG18538,NA,NA,NA,NA,NA,Cyp4ae1,NA,NA,NA,NA,NA
CG14567,NA,NA,CG3216,CG18540,NA,NA,NA,NA,NA,Cyp4d20,NA,NA,NA,NA,NA
CG14568,NA,NA,CG32196,CG18557,NA,NA,NA,NA,NA,Cyp4d8,NA,NA,NA,NA,NA
CG14569,NA,NA,CG32202,CG18558,NA,NA,NA,NA,NA,Cyp6a13,NA,NA,NA,NA,NA
CG14570,NA,NA,CG32204,CG18568,NA,NA,NA,NA,NA,Cyp6a14,NA,NA,NA,NA,NA
CG14591,NA,NA,CG32221,CG18598,NA,NA,NA,NA,NA,Cyp6a18,NA,NA,NA,NA,NA
CG14605,NA,NA,CG32225,CG18600,NA,NA,NA,NA,NA,Cyp6a9,NA,NA,NA,NA,NA
CG14606,NA,NA,CG32228,CG18606,NA,NA,NA,NA,NA,Cyp6g2,NA,NA,NA,NA,NA
CG14609,NA,NA,CG3223,CG18622,NA,NA,NA,NA,NA,Cyp6t3,NA,NA,NA,NA,NA
CG1461,NA,NA,CG32237,CG18635,NA,NA,NA,NA,NA,Cyp6u1,NA,NA,NA,NA,NA
CG14610,NA,NA,CG3224,CG18636,NA,NA,NA,NA,NA,Cyp9h1,NA,NA,NA,NA,NA
CG14613,NA,NA,CG32240,CG18659,NA,NA,NA,NA,NA,Cyt-b5,NA,NA,NA,NA,NA
CG14615,NA,NA,CG32243,CG18666,NA,NA,NA,NA,NA,Cyt-b5-r,NA,NA,NA,NA,NA
CG14618,NA,NA,CG32246,CG18672,NA,NA,NA,NA,NA,Cyt-c1L,NA,NA,NA,NA,NA
CG14621,NA,NA,CG32249,CG18675,NA,NA,NA,NA,NA,d,NA,NA,NA,NA,NA
CG14625,NA,NA,CG32259,CG18735,NA,NA,NA,NA,NA,dan,NA,NA,NA,NA,NA
CG14626,NA,NA,CG3226,CG18746,NA,NA,NA,NA,NA,Dark,NA,NA,NA,NA,NA
CG14628,NA,NA,CG32262,CG18766,NA,NA,NA,NA,NA,dbe,NA,NA,NA,NA,NA
CG14629,NA,NA,CG32263,CG18808,NA,NA,NA,NA,NA,Dbi,NA,NA,NA,NA,NA
CG1463,NA,NA,CG32267,CG18812,NA,NA,NA,NA,NA,Dbp21E2,NA,NA,NA,NA,NA
CG14630,NA,NA,CG32276,CG1882,NA,NA,NA,NA,NA,dbr,NA,NA,NA,NA,NA
CG14631,NA,NA,CG32278,CG18869,NA,NA,NA,NA,NA,DCP1,NA,NA,NA,NA,NA
CG14636,NA,NA,CG32280,CG18870,NA,NA,NA,NA,NA,DCTN2-p50,NA,NA,NA,NA,NA
CG14641,NA,NA,CG32281,CG1888,NA,NA,NA,NA,NA,DCTN3-p24,NA,NA,NA,NA,NA
CG14642,NA,NA,CG32301,CG1889,NA,NA,NA,NA,NA,Ddr,NA,NA,NA,NA,NA
CG14644,NA,NA,CG32302,CG1890,NA,NA,NA,NA,NA,Decay,NA,NA,NA,NA,NA
CG14645,NA,NA,CG32313,CG1902,NA,NA,NA,NA,NA,Def,NA,NA,NA,NA,NA
CG14646,NA,NA,CG32368,CG1924,NA,NA,NA,NA,NA,deltaCOP,NA,NA,NA,NA,NA
CG14647,NA,NA,CG32379,CG1958,NA,NA,NA,NA,NA,DENR,NA,NA,NA,NA,NA
CG14650,NA,NA,CG32391,CG1969,NA,NA,NA,NA,NA,Desat2,NA,NA,NA,NA,NA
CG14651,NA,NA,CG32392,CG1971,NA,NA,NA,NA,NA,Dfd,NA,NA,NA,NA,NA
CG14655,NA,NA,CG32407,CG1979,NA,NA,NA,NA,NA,dgo,NA,NA,NA,NA,NA
CG14657,NA,NA,CG32428,CG1983,NA,NA,NA,NA,NA,Dgp-1,NA,NA,NA,NA,NA
CG14658,NA,NA,CG32432,CG1999,NA,NA,NA,NA,NA,Dh31,NA,NA,NA,NA,NA
CG14659,NA,NA,CG32447,CG2003,NA,NA,NA,NA,NA,Dh31-R,NA,NA,NA,NA,NA
CG14661,NA,NA,CG32448,CG2004,NA,NA,NA,NA,NA,Dh44-R2,NA,NA,NA,NA,NA
CG14662,NA,NA,CG32461,CG2006,NA,NA,NA,NA,NA,Dhc36C,NA,NA,NA,NA,NA
CG14664,NA,NA,CG32485,CG2034,NA,NA,NA,NA,NA,Dhc62B,NA,NA,NA,NA,NA
CG14667,NA,NA,CG32486,CG2053,NA,NA,NA,NA,NA,Dhc64C,NA,NA,NA,NA,NA
CG14668,NA,NA,CG32523,CG2059,NA,NA,NA,NA,NA,Dhc98D,NA,NA,NA,NA,NA
CG14671,NA,NA,CG32533,CG2100,NA,NA,NA,NA,NA,Dhfr,NA,NA,NA,NA,NA
CG1468,NA,NA,CG32563,CG2104,NA,NA,NA,NA,NA,Dic3,NA,NA,NA,NA,NA
CG14731,NA,NA,CG32564,CG2113,NA,NA,NA,NA,NA,didum,NA,NA,NA,NA,NA
CG14743,NA,NA,CG3257,CG2116,NA,NA,NA,NA,NA,Diedel2,NA,NA,NA,NA,NA
CG14749,NA,NA,CG32572,CG2118,NA,NA,NA,NA,NA,Dif,NA,NA,NA,NA,NA
CG14756,NA,NA,CG32573,CG2121,NA,NA,NA,NA,NA,DIP-gamma,NA,NA,NA,NA,NA
CG14757,NA,NA,CG32576,CG2124,NA,NA,NA,NA,NA,DIP-theta,NA,NA,NA,NA,NA
CG14759,NA,NA,CG32590,CG2127,NA,NA,NA,NA,NA,DIP-zeta,NA,NA,NA,NA,NA
CG14760,NA,NA,CG32638,CG2129,NA,NA,NA,NA,NA,disco-r,NA,NA,NA,NA,NA
CG14763,NA,NA,CG32641,CG2144,NA,NA,NA,NA,NA,dj,NA,NA,NA,NA,NA
CG14764,NA,NA,CG32647,CG2145,NA,NA,NA,NA,NA,dj-1beta,NA,NA,NA,NA,NA
CG14767,NA,NA,CG32649,CG2182,NA,NA,NA,NA,NA,Dlg5,NA,NA,NA,NA,NA
CG14795,NA,NA,CG32650,CG2187,NA,NA,NA,NA,NA,Dlip1,NA,NA,NA,NA,NA
CG14797,NA,NA,CG3267,CG2199,NA,NA,NA,NA,NA,Dll,NA,NA,NA,NA,NA
CG14798,NA,NA,CG32686,CG2201,NA,NA,NA,NA,NA,DMAP1,NA,NA,NA,NA,NA
CG14803,NA,NA,CG32687,CG2209,NA,NA,NA,NA,NA,DNApol-alpha60,NA,NA,NA,NA,NA
CG14805,NA,NA,CG32695,CG2260,NA,NA,NA,NA,NA,DNApol-alpha73,NA,NA,NA,NA,NA
CG14806,NA,NA,CG32700,CG2267,NA,NA,NA,NA,NA,DNApol-epsilon58,NA,NA,NA,NA,NA
CG14810,NA,NA,CG32708,CG2291,NA,NA,NA,NA,NA,DNaseII,NA,NA,NA,NA,NA
CG14812,NA,NA,CG32718,CG2292,NA,NA,NA,NA,NA,dnc,NA,NA,NA,NA,NA
CG14814,NA,NA,CG32720,CG2321,NA,NA,NA,NA,NA,dnr1,NA,NA,NA,NA,NA
CG14817,NA,NA,CG32750,CG2336,NA,NA,NA,NA,NA,dnt,NA,NA,NA,NA,NA
CG14818,NA,NA,CG32756,CG2444,NA,NA,NA,NA,NA,Dot,NA,NA,NA,NA,NA
CG14823,NA,NA,CG32758,CG2453,NA,NA,NA,NA,NA,Dpit47,NA,NA,NA,NA,NA
CG14826,NA,NA,CG3277,CG2528,NA,NA,NA,NA,NA,dpn,NA,NA,NA,NA,NA
CG14830,NA,NA,CG32795,CG2540,NA,NA,NA,NA,NA,dpp,NA,NA,NA,NA,NA
CG14834,NA,NA,CG32803,CG2543,NA,NA,NA,NA,NA,dpr14,NA,NA,NA,NA,NA
CG14835,NA,NA,CG32815,CG2574,NA,NA,NA,NA,NA,dpr18,NA,NA,NA,NA,NA
CG14838,NA,NA,CG32832,CG2577,NA,NA,NA,NA,NA,dpy,NA,NA,NA,NA,NA
CG14879,NA,NA,CG32834,CG2604,NA,NA,NA,NA,NA,Dpy-30L1,NA,NA,NA,NA,NA
CG14881,NA,NA,CG32845,CG2616,NA,NA,NA,NA,NA,Dpy-30L2,NA,NA,NA,NA,NA
CG14882,NA,NA,CG3285,CG2641,NA,NA,NA,NA,NA,drd,NA,NA,NA,NA,NA
CG14883,NA,NA,CG3292,CG2650,NA,NA,NA,NA,NA,drk,NA,NA,NA,NA,NA
CG14891,NA,NA,CG3294,CG2652,NA,NA,NA,NA,NA,drl,NA,NA,NA,NA,NA
CG14892,NA,NA,CG32944,CG2658,NA,NA,NA,NA,NA,drm,NA,NA,NA,NA,NA
CG14893,NA,NA,CG32945,CG2662,NA,NA,NA,NA,NA,Drs,NA,NA,NA,NA,NA
CG14894,NA,NA,CG3295,CG2663,NA,NA,NA,NA,NA,dsb,NA,NA,NA,NA,NA
CG14903,NA,NA,CG32982,CG2680,NA,NA,NA,NA,NA,Dscam1,NA,NA,NA,NA,NA
CG14905,NA,NA,CG32984,CG2681,NA,NA,NA,NA,NA,Dscam3,NA,NA,NA,NA,NA
CG14907,NA,NA,CG33017,CG2694,NA,NA,NA,NA,NA,DUBAI,NA,NA,NA,NA,NA
CG14913,NA,NA,CG33056,CG2712,NA,NA,NA,NA,NA,dUTPase,NA,NA,NA,NA,NA
CG14915,NA,NA,CG3308,CG2736,NA,NA,NA,NA,NA,Dyb,NA,NA,NA,NA,NA
CG1492,NA,NA,CG33080,CG2750,NA,NA,NA,NA,NA,Dyrk3,NA,NA,NA,NA,NA
CG14926,NA,NA,CG33082,CG2767,NA,NA,NA,NA,NA,E(spl)m6-BFM,NA,NA,NA,NA,NA
CG14929,NA,NA,CG33120,CG2772,NA,NA,NA,NA,NA,E(spl)mbeta-HLH,NA,NA,NA,NA,NA
CG14930,NA,NA,CG33124,CG2781,NA,NA,NA,NA,NA,eas,NA,NA,NA,NA,NA
CG14931,NA,NA,CG33128,CG2794,NA,NA,NA,NA,NA,eater,NA,NA,NA,NA,NA
CG14937,NA,NA,CG33129,CG2811,NA,NA,NA,NA,NA,ecd,NA,NA,NA,NA,NA
CG14949,NA,NA,CG33143,CG2812,NA,NA,NA,NA,NA,EcR,NA,NA,NA,NA,NA
CG14957,NA,NA,CG33144,CG2816,NA,NA,NA,NA,NA,ECSIT,NA,NA,NA,NA,NA
CG14958,NA,NA,CG33199,CG2818,NA,NA,NA,NA,NA,Edem2,NA,NA,NA,NA,NA
CG14960,NA,NA,CG33217,CG2837,NA,NA,NA,NA,NA,eEF1delta,NA,NA,NA,NA,NA
CG14963,NA,NA,CG33223,CG2846,NA,NA,NA,NA,NA,Ef1beta,NA,NA,NA,NA,NA
CG14966,NA,NA,CG33229,CG2852,NA,NA,NA,NA,NA,Efr,NA,NA,NA,NA,NA
CG14967,NA,NA,CG33278,CG2854,NA,NA,NA,NA,NA,EfSec,NA,NA,NA,NA,NA
CG14968,NA,NA,CG3328,CG2875,NA,NA,NA,NA,NA,Egfr,NA,NA,NA,NA,NA
CG14971,NA,NA,CG33281,CG2901,NA,NA,NA,NA,NA,egl,NA,NA,NA,NA,NA
CG14974,NA,NA,CG33286,CG2909,NA,NA,NA,NA,NA,Eglp4,NA,NA,NA,NA,NA
CG14977,NA,NA,CG33303,CG2911,NA,NA,NA,NA,NA,Egm,NA,NA,NA,NA,NA
CG14983,NA,NA,CG33307,CG2921,NA,NA,NA,NA,NA,egr,NA,NA,NA,NA,NA
CG14984,NA,NA,CG33346,CG2941,NA,NA,NA,NA,NA,Eh,NA,NA,NA,NA,NA
CG14985,NA,NA,CG3337,CG2964,NA,NA,NA,NA,NA,Ehbp1,NA,NA,NA,NA,NA
CG14989,NA,NA,CG3344,CG2972,NA,NA,NA,NA,NA,eIF2B-alpha,NA,NA,NA,NA,NA
CG14995,NA,NA,CG3345,CG2974,NA,NA,NA,NA,NA,eIF2B-beta,NA,NA,NA,NA,NA
CG14997,NA,NA,CG33453,CG2975,NA,NA,NA,NA,NA,eIF4E-6,NA,NA,NA,NA,NA
CG15011,NA,NA,CG33475,CG2983,NA,NA,NA,NA,NA,eIF5B,NA,NA,NA,NA,NA
CG15012,NA,NA,CG3348,CG30002,NA,NA,NA,NA,NA,elav,NA,NA,NA,NA,NA
CG15014,NA,NA,CG33506,CG30008,NA,NA,NA,NA,NA,elB,NA,NA,NA,NA,NA
CG15019,NA,NA,CG33514,CG30015,NA,NA,NA,NA,NA,Elba2,NA,NA,NA,NA,NA
CG15020,NA,NA,CG33521,CG30039,NA,NA,NA,NA,NA,EloC,NA,NA,NA,NA,NA
CG15024,NA,NA,CG33523,CG30043,NA,NA,NA,NA,NA,EndoA,NA,NA,NA,NA,NA
CG15027,NA,NA,CG3358,CG30048,NA,NA,NA,NA,NA,ens,NA,NA,NA,NA,NA
CG15034,NA,NA,CG33632,CG30054,NA,NA,NA,NA,NA,Eogt,NA,NA,NA,NA,NA
CG15065,NA,NA,CG33635,CG30058,NA,NA,NA,NA,NA,Epg5,NA,NA,NA,NA,NA
CG15067,NA,NA,CG33655,CG30065,NA,NA,NA,NA,NA,Eps-15,NA,NA,NA,NA,NA
CG15073,NA,NA,CG33671,CG30069,NA,NA,NA,NA,NA,Ercc1,NA,NA,NA,NA,NA
CG15083,NA,NA,CG33672,CG30075,NA,NA,NA,NA,NA,Erk7,NA,NA,NA,NA,NA
CG15084,NA,NA,CG33679,CG30080,NA,NA,NA,NA,NA,erm,NA,NA,NA,NA,NA
CG15093,NA,NA,CG33704,CG30083,NA,NA,NA,NA,NA,Est-P,NA,NA,NA,NA,NA
CG15096,NA,NA,CG33752,CG30087,NA,NA,NA,NA,NA,Etf-QO,NA,NA,NA,NA,NA
CG15098,NA,NA,CG3376,CG30088,NA,NA,NA,NA,NA,ETHR,NA,NA,NA,NA,NA
CG15099,NA,NA,CG33774,CG30089,NA,NA,NA,NA,NA,Ets98B,NA,NA,NA,NA,NA
CG15107,NA,NA,CG33775,CG30090,NA,NA,NA,NA,NA,euc,NA,NA,NA,NA,NA
CG15109,NA,NA,CG3394,CG30091,NA,NA,NA,NA,NA,ey,NA,NA,NA,NA,NA
CG15111,NA,NA,CG33981,CG30099,NA,NA,NA,NA,NA,eys,NA,NA,NA,NA,NA
CG15115,NA,NA,CG33995,CG30100,NA,NA,NA,NA,NA,fa2h,NA,NA,NA,NA,NA
CG15116,NA,NA,CG34005,CG30103,NA,NA,NA,NA,NA,fab1,NA,NA,NA,NA,NA
CG15117,NA,NA,CG34011,CG30105,NA,NA,NA,NA,NA,faf,NA,NA,NA,NA,NA
CG15118,NA,NA,CG34021,CG30108,NA,NA,NA,NA,NA,fal,NA,NA,NA,NA,NA
CG15120,NA,NA,CG34025,CG30109,NA,NA,NA,NA,NA,FANCI,NA,NA,NA,NA,NA
CG15124,NA,NA,CG34040,CG30110,NA,NA,NA,NA,NA,fas,NA,NA,NA,NA,NA
